Identity,text,header,type_of_tweet,screen_and_username,num_followers,num_friends,num_retweets,tweet_language,rumour_identification,,,
4998,Map: Exclusion zone remains around #MartinPlace as the #Sydneysiege continues  http://t.co/aOuG4dmrHb http://t.co/ZP0U1xNQzA,sydneysiege,1,ABC News/abcnews,489877,1063,129,en,0,,,
3321,"Last position of Germanwings flight #4U9525 at 09:40 UTC
http://t.co/FHoX6q0GHt http://t.co/72pxGKolRM",germanwings-crash,1,Flightradar24/flightradar24,214190,369,3092,en,0,,,
5704,Saying every Muslim is a terrorist is like saying every Christian is a member of the Klu Klux Klan.Completely untrue and unfair #sydneysiege,sydneysiege,1,christmastacy/popsychoIogy,4645,249,130,en,1,,,
191,"BREAKING: Gunfire, hostages taken in Dammartin-en-Goële, east of Paris, as police chase suspected #CharlieHedbo attackers",charliehebdo,1,NBC News/NBCNews,2005537,2892,202,en,0,,,
3204,For people who profess to LOVE the constitution - they sure VIOLATE it A-lot! #Ferguson #MikeBrown #HandsUpDontShoot,ferguson,1,Fallon Nicole/fallongreen15,1641,1934,118,en,1,,,
108,This illustration by @LucilleClerc says it all. #JeSuisCharlie http://t.co/UctYcW96A4,charliehebdo,1,Erich Bergen/erichbergen,9538,395,110,en,0,,,
174,"12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU",charliehebdo,1,Telegraph News/TelegraphNews,476244,488,104,en,0,,,
3133,"Wake up. Whenever a black man is killed by police, they try to make him a Saint/Martyr. 99% of the time he's a POS #Thug.
#Ferguson",ferguson,1,Anthony Cumia/AnthonyCumia,172285,707,124,en,1,,,
5580,"We condemn the actions of the criminals at #martinsplace #sydneysiege 

Islam is free from terrorism. Visit: http://t.co/fsBE3gEuYH",sydneysiege,1,Salafi Sisters AUS/SalafiSisters,407,137,104,en,1,,,
1598,"Islamophobia: a word created by fascists, used by cowards, to manipulate morons. @YoungBLKRepub   http://t.co/uJowPJhbAi #CharlieHebdo",charliehebdo,1,Feisty☀️Floridian/peddoc63,50064,33970,128,en,1,,,
1360,I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA,charliehebdo,1,Martin Daubney/MartinDaubney,2843,1090,267,en,1,,,
1860,Cartoonists fight back. #JeSuisCharlie http://t.co/vUByhnDcHw,charliehebdo,1,Unexplained World/ClassicPict,795010,464,1041,en,1,,,
4192,My heart goes out to #Ottawa and all those who have had violence and sickness force it's way into their lives. #LoveForCanada #LiveInLove,ottawashooting,1,Noel Fisher/noel_fisher,68797,251,138,en,1,,,
5046,Note: Flag held up by Sydney hostages is NOT the flag commonly used by ISIS http://t.co/HFOY0ctLNV http://t.co/2zOj5KynRz,sydneysiege,1,BuzzFeed News/BuzzFeedNews,187867,4737,134,en,0,,,
5645,Why a hostage situation is neither the time nor place for selfies #sydneysiege http://t.co/AYGnzNVxOX http://t.co/yhHldK5Wne,sydneysiege,1,The Independent/Independent,937529,1766,144,en,1,,,
2633,"This is #Ferguson, a suburb in America. http://t.co/GfmHLo4u5q",ferguson,1,Alex Halpern/HalpernAlex,881,669,221,en,1,,,
5757,"I guess when police told the media not to name the gunman they actually meant ""please put his name and face on the front page""? #sydneysiege",sydneysiege,1,Matt Tarrant/MattTarrant,99093,71071,127,en,1,,,
1164,#CharlieHebdo attack: new hostage situation at Paris shop - live updates http://t.co/lNt8ldwaae http://t.co/x9smojQJK8,charliehebdo,1,Guardian news/guardiannews,1559600,1319,144,en,1,,,
3907,#Canada Soldier shot today: MT @megunder On Sunday very handsome guard in picture with my friend - RIP Nathan Cirillo http://t.co/qJXlw1hNN3,ottawashooting,1,Saša Petricic/sasapetricic,9888,500,199,en,0,,,
476,"We will not be intimidated by brutal, violent attacks on our freedom #JeSuisCharlie",charliehebdo,1,Donald Tusk/eucopresident,217421,345,106,en,1,,,
1876,#JeSuisCharlie displayed on the roof of the German Axel Springer publishers HQ in Berlin http://t.co/6Vyt2viHo2 http://t.co/b5Xcgji56f,charliehebdo,1,HuffPostUK Pictures/HuffPostUKPics,17363,1111,316,en,1,,,
4318,Our thoughts are with all those affected by today’s events in Ottawa.,ottawashooting,1,Blue Jays-Official /BlueJays,523510,530,355,en,1,,,
4140,UPDATED | Attacker shot dead in Parliament after soldier shot at National War Memorial: http://t.co/4kP3Lib1dS #cbcOTT #OTTnews,ottawashooting,1,CBC Ottawa/CBCOttawa,66610,296,137,en,0,,,
1616,"Horrible tragedy in Paris today was not done by Muslims, but done by terrorists. Let us unite against hate + pray for peace. #CharlieHebdo",charliehebdo,1,Russell Simmons/UncleRUSH,3388798,778,1299,en,1,,,
312,Tribute to #CharlieHebdo on Banksy's instagram account: http://t.co/VE37nfsL2R http://t.co/b0QYWmMUkL,charliehebdo,1,José Miguel Sardo/jmsardo,6023,3927,1980,en,0,,,
4011,DEVELOPING: #Canada officials identify dead gunman in Parliament shooting as Michael Zehaf-Bibeau. http://t.co/pfaAxISVyR,ottawashooting,1,Al Jazeera English/AJEnglish,2134176,136,106,en,0,,,
508,Video purportedly shows gunmen fleeing after opening fire at #CharlieHebdo offices in France. http://t.co/yNCZFyhV5a http://t.co/5M9IGKUGWR,charliehebdo,1,Fox News/FoxNews,4724223,381,293,en,1,,,
166,Hostage-taker at kosher market in #Paris said to be killed. Mayor confirms 2 brothers killed at separate hostage-taking. #CharlieHebdo,charliehebdo,1,CBC News Alerts/CBCAlerts,422597,272,140,en,0,,,
2153,"So in #Ferguson, robbing a convenience carries the death penalty. Got it.",ferguson,1,Harold Itzkowitz/HaroldItz,6438,5599,121,en,0,,,
5449,"Instead of calling the Sydney cafe terrorist 'the terrorist',BBC is calling him 'the gunman'. Even after he showed his black terrorist flag.",sydneysiege,1,taslima nasreen /taslimanasreen,105862,384,351,en,1,,,
2104,"""@smokey: ""You can't jump over a murder &amp; talk to me about some cigars…""  @thereval @newsone #Ferguson"" #KeepingItRealRadio",ferguson,1,Reverend Al Sharpton/TheRevAl,404280,199,139,en,0,,,
1024,Yes this is about victims. It's also about how our communities reform &amp, abolish blasphemy codes. We mustn't run from scrutiny #CharlieHebdo,charliehebdo,1,Maajid Nawaz/MaajidNawaz,33230,363,120,en,1,,
1221,"“17 journalists massacres by Israel in Gaza, 2014. Where were these ""freedom of speech"" people then? #CharlieHebdo http://t.co/ASd3jbRwRQ”",charliehebdo,1,LawrenceMcNeill ⛔️✌️/ljam185,7425,7479,416,en,1,,,
3438,BREAKING: German Media Site Says Germanwings Co-Pilot Was Muslim Convert http://t.co/bTKvcLMN60 via @anyclinic,germanwings-crash,1,CDM/RWSurferGirl,571658,453460,48,en,0,,,
1119,"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",charliehebdo,1,Iyad El-Baghdadi/iyad_elbaghdadi,34703,1658,42527,en,1,,,
103,#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E,charliehebdo,1,AFP Photo Department/AFPphoto,36068,241,141,en,0,,,
5217,"#NSW police have asked us, and others, not to broadcast demands from the #lindtcafe gunman. We will comply. I will have more to say at 7.30",sydneysiege,1,Hugh Riminton/hughriminton,41664,3492,142,en,1,,,
4258,Our thoughts and prayers are with everyone in Ottawa this morning.,ottawashooting,1,Florida Panthers/FlaPanthers,121785,917,186,en,1,,,
3200,"Don't tell a heartbroken community how to feel, what to say. Try listening to them instead. #Ferguson",ferguson,1,Sarah Kendzior/sarahkendzior,28686,1111,391,en,1,,,
5694,"""Sydney Siege: Australians Rally Against Islamophobia With #illridewithyou Hashtag""
http://t.co/kXBVRxOFID",sydneysiege,1,Mehdi Hasan/mehdirhasan,152362,1244,167,en,1,,,
3458,"If the #Germanwings copilot #Lubitz was Muslim,it wud hv been a classic terrorism case.But hes not brown,so clearly it a mental heath issue!",germanwings-crash,1,Haytham Soliman/ImHaytham,1223,286,86,en,0,,,
3839,#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,ottawashooting,1,The Globe and Mail/globeandmail,543024,415,565,en,0,,,
1752,"Salman Rushdie defends Charlie Hebdo, calls for ""fearless disrespect"" of all religions http://t.co/eSFhZflldV http://t.co/MP8T3q3Pjx",charliehebdo,1,Salon.com/Salon,447167,5847,206,en,1,,,
5383,Massive respect to @nswpolice today. Their professionalism and calmness under such circumstances is amazing. #sydneysiege,sydneysiege,1,Mrs Woog/Woogsworld,15729,1975,186,en,1,,,
2181,so if he was with #DorianJohnson at the robbery why wasn't he in custody? All media outlets interviewed him before the police #Ferguson,ferguson,1,MichaelaAngela Davis/MichaelaAngelaD,26199,976,113,en,0,,,
5314,"What's happening in Sydney will happen in the uk it's inevitable, and our political leaders will have blood on their hands",sydneysiege,1,Tommy Robinson/TRobinsonNewEra,93650,4311,212,en,1,,,
4567,Moment of silence for Ottawa. http://t.co/BoGUs86tMe,ottawashooting,1,Buffalo Sabres/BuffaloSabres,226890,539,1093,en,1,,,
3914,"Canadian Prime Minister Stephen Harper is due to make a statement shortly, reports say http://t.co/dUvWlCCpdY #OttawaShootings",ottawashooting,1,BBC Breaking News/BBCBreaking,11835650,3,162,en,0,,,
1658,"Think this ticks all the boxes.

#JeSuisCharlie http://t.co/TTbO4qHjp9",charliehebdo,1,DenCroke /DenCroke,291,549,2344,en,1,,,
152,Gunmen showed advanced military skills in Paris #CharlieHebdo attack: http://t.co/Q5FIaTLF8G http://t.co/XiZLErM37y,charliehebdo,1,The Telegraph/Telegraph,774513,264,296,en,0,,,
2410,For those not in #Ferguson: what questions do you still have? Are their angles/content you want explored haven't seen yet?,ferguson,1,Wesley Lowery/WesleyLowery,102635,3788,117,en,1,,,
4087,"BREAKING UPDATE: Soldier shot at National War Memorial in Ottawa, Canada, police tell @ABC News - http://t.co/wg7WHTjJGI",ottawashooting,1,ABC News/ABC,3631285,860,116,en,0,,,
1583,#JeSuisCharlie moving minute of silence at #AFP headquarters for the victims of Charlie Hebdo http://t.co/JHz0JQGoru,charliehebdo,1,Francis Kohn/Rimlaire,854,605,228,en,1,,,
5439,#Coquitlam crews are on Sydney Ave after a male was thrown off a 3 story balcony. PD say on arrival male is conscious &amp, smoking a cigarette,sydneysiege,1,ScanBC/ScanBC,72226,666,211,en,1,,
2656,Interview with mother of victim. The police wouldn't let her ID her own son http://t.co/jUonPxq4TW #Ferguson,ferguson,1,Sarah Kendzior/sarahkendzior,28538,1108,157,en,1,,,
725,We are hearing gunfire at the siege at the printing building at Dammartin. 2 ambulances raced past.,charliehebdo,1,Bill Neely/BillNeelyNBC,22913,554,130,en,1,,,
3166,More peaceful protesting today in #Ferguson.  #MichaelBrown http://t.co/FVMjydnqFM,ferguson,1,Marci Gonzalez/TVMarci,6379,2004,117,en,1,,,
1503,"""But who wants the English in Europe?"" Quite enjoying some of these #CharlieHebdo covers: https://t.co/p0QS7l0q1H http://t.co/GmzJnnhwc3",charliehebdo,1,Richard Godwin/richardjgodwin,7105,1470,130,en,1,,,
2802,RT @TOO_LIVE_MILZ: The sad truth RT @kupkakekami: This would help tremendously. #mikebrown #Ferguson http://t.co/2i6aBcHlP3,ferguson,1,Carlos Reedriguez/TheOnlyReed,28949,1111,173,en,1,,,
2387,"Dear #Ferguson PD After our towns murders we didn't deploy SWAT
Respectfully a Sandy Hook Dad and ex-cop. http://t.co/fpRWMowwAj",ferguson,1,Darren Wagner ॐ/wagner_darren,9429,9461,487,en,1,,,
3787,Two Tory MPs say gunman at Parliament Hill has been 'shot and killed' http://t.co/r2qnyftxXF http://t.co/mksfPjJ73r,ottawashooting,1,National Post/nationalpost,229438,12077,389,en,0,,,
1879,Seven great cartoon responses to the #CharlieHebdo killings: http://t.co/HY4RHFKiib http://t.co/il4P5MANAC,charliehebdo,1,Fusion/ThisIsFusion,144564,1586,129,en,1,,,
5586,"INSANITY! #Jihad comes 2 Australia &amp; Liberal Lunatics are Concerned with Political Correctness!?

#sydneysiege 
#tcot http://t.co/YiTCQLja7a",sydneysiege,1,Amy Mek/AmyMek,26753,10600,127,en,1,,,
5796,"this photo speaks a thousand words, praying for all people being held hostage #sydneysiege #SydneyHostageCrisis http://t.co/Pk3wwqd8FS",sydneysiege,1,ireland loves calum/teenqueenhemmo,35418,25758,204,en,1,,,
3119,BREAKING: AG Eric Holder has instructed attorneys in the department's civil rights division to monitor developments in #Ferguson. -@AP,ferguson,1,Michael Calhoun/michaelcalhoun,7803,2859,701,en,1,,,
31,"BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3",charliehebdo,1,RT/RT_com,842292,460,165,en,0,,,
1225,One of the most compelling &amp, relevant things I've seen on #CharlieHebdo so far. Pics say more than words sometimes. http://t.co/RJslBvn6gv,charliehebdo,1,Ryan Rampling/RyanRampling,2284,2071,287,en,1,,
937,True story. #JeSuisCharlie http://t.co/s6dBFKSwD9,charliehebdo,1,Carline Mohr /Mohrenpost,3045,916,347,en,1,,,
1822,French envoy's #CharlieHebdo #Twitter photo goes viral #ParisTerror http://t.co/9oJmJE0OWU http://t.co/Z0CEEFGFeD,charliehebdo,1,HeadlinesToday/HeadlinesToday,394025,116,190,en,1,,,
2110,"ICYMI: The info given today seems to line up with this witness account, even the alleged theft: http://t.co/7hjBIrf1a3

#Ferguson #MikeBrown",ferguson,1,Antonio French/AntonioFrench,108431,1041,309,en,0,,,
4472,LIVE STREAM: CBC News coverage of the #OttawaShooting http://t.co/fUmPnqI8iW Mobile: http://t.co/KF24bmAjdQ #CBCNN http://t.co/uX7JIgnoWb,ottawashooting,1,CBC Toronto/CBCToronto,138166,969,138,en,1,,,
752,Attack on #CharlieHebdo:The intl community cannot allow extremists to silence the free flow of opinions http://t.co/1BgO8HRRbf #pressfreedom,charliehebdo,1,UNESCO/UNESCO,609432,1027,748,en,1,,,
2843,"Friends, the #Ferguson police aren't incompetent. They are building a defense &amp; know they don't have to work hard at it.",ferguson,1,Side-Eye (Harder)/prisonculture,25670,799,134,en,1,,,
309,France's top security official confirms that 3 gunmen carried out the attack on #CharlieHebdo http://t.co/gL0vcc2IP5,charliehebdo,1,Fox News/FoxNews,4724491,381,131,en,0,,,
3247,"Before crash, pilots of #Germanwings A320 reported emergency at 10:47 local time and descended rapidly to 5,000 feet. http://t.co/CwF82tkUVg",germanwings-crash,1,Jim Roberts/nycjim,159350,1667,38,en,0,,,
4936,The CEO of Lindt says there are around 50 people holed up in the cafe in central Sydney #sydneysiege http://t.co/sUKKYMk08y,sydneysiege,1,BBC Breaking News/BBCBreaking,12524483,3,1395,en,0,,,
503,"If you are not condemning the #Islamic ideology that killed 12 at #CharlieHebdo, your sympathy doesn't mean shit.
Support #FreeSpeech.",charliehebdo,1,A/SecularlyYours,8304,886,922,en,1,,,
3455,"One pilot in #Germanwings crash was locked out of cockpit, @nytimes reports http://t.co/doZIZCHP4o",germanwings-crash,1,Yahoo News/YahooNews,893725,2312,35,en,0,,,
4923,"3 people have come running out of the Lindt cafe building, including a man who looked like a cafe worker. #MartinPlaceSiege #sydneysiege",sydneysiege,1,7 News Sydney/7NewsSydney,41941,397,180,en,0,,,
3875,Police in pursuit of multiple shooters in Ottawa, PM safe, downtown buildings in lockdown http://t.co/3FCWaFPA4y http://t.co/Si3yY0BRRd,ottawashooting,1,The Globe and Mail/globeandmail,534910,409,426,en,0,
2932,Main roads blocked off. Found a back way. I'm back at the QT in #Ferguson http://t.co/VWFUdZQcrr,ferguson,1,Antonio French/AntonioFrench,107280,1041,233,en,1,,,
3297,Germanwings plane crash: #A320 sent distress signal before crashing in French Alps  http://t.co/U4yg4ndyBo http://t.co/6TMygKOETx,germanwings-crash,1,HuffPost UK/HuffPostUK,124676,1755,38,en,0,,,
495,"call me foolish but this girl holding #JeSuisCharlie hiding her face, in a ghostly looking #Aleppo #Syria made me cry http://t.co/bFGf3edOAu",charliehebdo,1,dona/donatelladr,5860,714,2561,en,1,,,
1405,Charlie Hebdo: Don’t blame this bloodshed on France’s Muslims | Nabila Ramdani http://t.co/XZlutySyZn,charliehebdo,1,The Guardian/guardian,3096742,1083,125,en,1,,,
4024,#KevinVickers hailed as hero who took down attacker at Parliament Hill http://t.co/2MHOPGuF7w #OttawaShooting http://t.co/zu5I71EU5S,ottawashooting,1,The National/CBCTheNational,126174,75,344,en,0,,,
205,At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,charliehebdo,1,Wall Street Journal/WSJ,5571268,974,338,en,0,,,
1434,"#CharlieHebdo suspects, the #KouachiBrothers, both killed, local mayor tells CNN. http://t.co/cTAJWVBmAO http://t.co/vFvDvoDzi5",charliehebdo,1,CNN International/cnni,3038031,390,140,en,1,,,
1135,"This HAS to stop. 

#CharlieHebdo http://t.co/lPrNCPNB5E",charliehebdo,1,Roycey/officialroycey,72521,862,916,en,1,,,
3528,BREAKING: A Germanwings jet crashed in France as it traveled from Barcelona to Dusseldorf http://t.co/vqUUuspIFk http://t.co/mwguIFT1iu,germanwings-crash,1,New York Post/nypost,756341,41131,77,en,1,,,
868,Indian artist Sudarsan Pattnaik and his tribute to those killed in the attack on Charlie Hebdo http://t.co/36rBaLxCJ6,charliehebdo,1,Agence France-Presse/AFP,299618,482,2353,en,1,,,
701,How the #CharlieHebdo terrorist attack unfolded: http://t.co/yxqCbTWoon http://t.co/t2ryyDt2R2,charliehebdo,1,Telegraph News/TelegraphNews,475984,488,138,en,1,,,
4506,Chairs against door. MT @grahamctv: Photo from inside caucus room after shooting http://t.co/ELaGEUBVM1,ottawashooting,1,Irene Thomaidis/irene_thomaidis,742,875,108,en,1,,,
305,There's a tank near the #Paris hostage scene http://t.co/7N7uvClhWY (Pic: Heathcliff O'Malley) http://t.co/EPXhd9k6GF,charliehebdo,1,The Telegraph/Telegraph,779387,264,738,en,0,,,
2570,"WE OUT HERE IN #Ferguson cleaning up OUR city ! Handing out water, Gatorade, snacks, &amp; cleaning supplies #MikeBrown http://t.co/zmMRWFF0Ch",ferguson,1,B. /princebraden,4227,1405,939,en,1,,,
1192,"#CharlieHebdo on Jazeera : Double standard of freedom of expression

http://t.co/gVjlX2NpAd",charliehebdo,1,Tariq Ramadan/TariqRamadan,236902,8,247,en,1,,,
4570,Please do not post videos or photos of the on-going incident to ensure safety of first responders and the public. #Ottawa ^JT,ottawashooting,1,"RCMP, Ontario/RCMPONT",14431,646,3307,en,1,,,
4857,"Police negotiators have contacted hostage taker in Sydney cafe, police official says. http://t.co/eY2FWZsK7C #sydneysiege",sydneysiege,1,CNN Breaking News/cnnbrk,21716031,109,452,en,0,,,
1534,CERN put flags at half-mast and observed a minute's silence today in solidarity with #CharlieHebdo #JeSuisCharlie http://t.co/HgzI8R8X4h,charliehebdo,1,CERN/CERN,1072191,329,270,en,1,,,
1061,BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,charliehebdo,1,CNN International/cnni,3028493,389,236,en,1,,,
843,I am devastated by what just happened in France. #CharlieHebdo http://t.co/IxEbScqYFh,charliehebdo,1,jean jullien/jean_jullien,6005,55,10437,en,1,,,
2776,Thousands shut down Times Square last night in support of #Ferguson US where police shot unarmed teen #MikeBrown http://t.co/t2rNDX3Hju,ferguson,1,Riot From Wrong/RiotfromWrong,1952,407,216,en,1,,,
3589,"""No survivors"" from #Germanwings crash in the Alps, French transport minister says http://t.co/iw1QLzJQKW http://t.co/Q0ssqcSKp2",germanwings-crash,1,BBC Breaking News/BBCBreaking,14132291,3,3300,en,1,,,
2366,Brutal treatment of black ppl isn’t indeed the only anti-human rights act by US govt,look at US’s green light to #Israel’s crimes. #Ferguson,ferguson,1,Khamenei.ir/khamenei_ir,69710,3,223,en,1,,
3268,BREAKING #Germanwings pilots did not send mayday signal. ATC declared the emergency. http://t.co/wFg8KTSve2,germanwings-crash,1,AirLive.net/airlivenet,56012,382,212,en,0,,,
1538,"Now, thousands are expressing their feelings on today's events in France with pictures like this #JeSuisCharlie http://t.co/8TFGk67YAS",charliehebdo,1,BBC Trending/BBCtrending,60379,733,3081,en,1,,,
211,"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",charliehebdo,1,Shiraz Maher/ShirazMaher,7910,1294,105,en,0,,,
1340,My timeline is full of Muslims condemning #CharlieHebdo attacks - just like the rest of the world.,charliehebdo,1,Andrew Stroehlein/astroehlein,24303,2830,865,en,1,,,
1108,#CharlieHebdo attack is a barbaric act of terrorism. Nothing can justify it. Muslim scholar Gulen must be remembered. http://t.co/NgQNmlPqBf,charliehebdo,1,Mustafa Edib Yılmaz/MustafaEdib,30062,739,425,en,1,,,
5484,The #SydneySiege has now been going for six hours. http://t.co/5yDIw5xAGl http://t.co/RcxxfJncRs,sydneysiege,1,The Australian/australian,230649,395,186,en,1,,,
4519,"Watching Peter Mansbridge on CBC. Canadian journalism is calm, factual, not fear-mongering. The way it should be. #ottawashooting @cbc",ottawashooting,1,Elisabeth Bucci/ElisabethBucci,371,198,140,en,1,,,
679,THE TERRORIST ATTACK IN PARIS IS SO SCARY I'M CRYING,charliehebdo,1,meg/cloulessed,4399,1871,125,en,1,,,
2168,Looks like #Ferguson PD spent their whole week on a smear campaign against #MikeBrown instead of investigating or being at all helpful.,ferguson,1,Sean Carlson/itsthatseanguy,828,980,209,en,0,,,
5145,"Things getting ugly... A racist bloke yelling at rest of the crowd, ""Muhammed is a pedophile, rapist"" #sydneysiege http://t.co/q2TPg0In5Q",sydneysiege,1,Mark Di Stefano/MarkDiStef,9409,2230,265,en,1,,,
2698,"Snipers rifles aimed at unarmed American citizens right now in St. Louis, MO. #Ferguson http://t.co/us4dcQ8CxC",ferguson,1,Antonio French/AntonioFrench,106425,1041,2773,en,1,,,
3870,UPDATE: Reports of gunfire inside the halls of the Canadian Parliament building in #Ottawa: http://t.co/tjycT5YQcv,ottawashooting,1,Fox News/FoxNews,4423086,383,163,en,0,,,
565,"Yes, tweet actual covers instead of the mere #JeSuisCharlie. They are, after all, what the bullies can’t handle. http://t.co/ukRpofTzK0”",charliehebdo,1,Steven Schoenfeld/SASchoenfeld,1143,2000,174,en,1,,,
2086,"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists #Ferguson",ferguson,1,Paul Joseph Watson/PrisonPlanet,63831,139,114,en,0,,,
2404,"HERE ARE 50 QUESTIONS! about report released today in #Ferguson, please read https://t.co/YOETZl7uKW”. CHECK THEM OUT!!!",ferguson,1,E. Dewey Smith/edeweysmith,58288,4175,101,en,1,,,
1532,"Shooting at #CharlieHebdo ""an attack on freedom"", says Dominque Moisi, Parisian political analyst: http://t.co/B3AvGBwp82",charliehebdo,1,BBC Radio 5 live/bbc5live,462690,13655,124,en,1,,,
4434,"Stunning photo inside caucus room during shooting http://t.co/wgGCPeYZ67
http://t.co/OpERH3GiMu",ottawashooting,1,HuffPost Canada/HuffPostCanada,116012,2810,574,en,1,,,
680,Wrote and drew this on #CharlieHebdo and the history of cartoonists killed for their work http://t.co/uVX99m0lJJ http://t.co/CuO6799Prp,charliehebdo,1,Molly Crabapple/mollycrabapple,59571,1049,117,en,1,,,
5613,Thinking of everyone in Sydney. Hope you all get home safe and sound xx #PrayForSydney,sydneysiege,1,GAZ/GazGShore,1791356,5225,482,en,1,,,
180,Hostage-taker at Paris grocery is suspect in fatal shooting of officer, official confirms that shooting linked to newspaper attack - @AP,charliehebdo,1,Breaking News/BreakingNews,7198067,509,296,en,0,,
5591,Sending all my love to Sydney. Horrible situation... Stay safe everybody.,sydneysiege,1,Alexander William/AlexAllTimeLow,1031854,291,3450,en,1,,,
2077,"Forget truth, today even satire is unacceptable.
#CharlieHebdo",charliehebdo,1,Gautam Chikermane/gchikermane,15649,266,187,en,1,,,
3071,"St. Louis Co police confirm female shot in head in 1300 bl Highmont, near QT.  Appears to be drive-by shooting. #ferguson",ferguson,1,Valerie Schremp Hahn/valeriehahn,2422,626,319,en,1,,,
4941,Total number of people who have left the cafe in Sydney up to 5. The latest: http://t.co/Nl3BNlFidA #SydneySiege http://t.co/TgZkYFNlR9,sydneysiege,1,Wall Street Journal/WSJ,5446393,968,325,en,0,,,
278,"Gunshots heard as well as shouts of ""Allahu Akbar!"" in amateur videos of #CharlieHebdo attack http://t.co/3Jsosc7yl3 http://t.co/NM8T2KJJGx",charliehebdo,1,RT/RT_com,842520,460,189,en,0,,,
